gene,barcode
Il1rl1,......GG........BB....RRRR......
Il1rn,....GG........GG........BB..BB..
Il2,......RR..............YYRR..YY..
Il20,........BB....YY....YY......BB..
Il20ra,....YY........YYBB..GG..........
Il22ra1,..YY........RR........RRGG......
Il23a,..RR..........YY......RR....BB..
Il24,..................RR....YY..BBBB
Il27ra,..RR......GG........GG........BB
Il2ra,........YY....RRYY......BB......
Il2rb,YY............BB..RR......YY....
Il2rg,GG..................YYBB..BB....
Il33,BB................BB..YYGG......
Il34,........GG......RR..YY......RR..
Il36g,RR..............YY........GGBB..
Il3ra,GG..........GGYY..............BB
Il4ra,..RR....................RRYY..YY
Il6,............RRBB......GG......BB
Il6ra,......YYBB..............RR....RR
Il6st,......RR......BB....BB........YY
Il7,....BB............BBGG....YY....
Il7r,YYRR........BB............YY....
Inha,....YY..........GGBB......RR....
Inhba,..BB............GGRR......YY....
Inhbb,....................YY..GGYYYY..
Ins1,..GG..BBBBRR....................
Insr,..YY....BB..YY............GG....
Irf3,..............RR....BBBB....YY..
Irf4,GG..YY............RRGG..........
Itga1,BB....GG......GGGG..............
Itga2,GGBB......BB....RR..............
Itga3,....RR......RRRRGG..............
Itga5,GGYY........YY..BB..............
Itga6,YYRR....BBBB....................
Itga8,............GG..RRRR........RR..
Itga9,GG....BB..YY......RR............
Itgae,GG....RR......YY..........GG....
Itgal,......GG............YY....GG..YY
Itgam,....YY..BB..GGBB................
Itgav,....RR..GG......BB..........GG..
Itgax,..GG..BB....BB................RR
Itgb1,BBRR......YY..........GG........
Itgb2,..YY........BB........BB....RR..
Itgb4,......RR..GG..RR..........RR....
Itgb5,........RR..GGGG......YY........
Itgb6,GG..BB......RR....YY............
Itgb8,..........RRRR..YY......GG......
Itk,....RRBB............GG..GG......
Itm2a,BB........YY............RRGG....
Jag1,..BB................GGBB......GG
Jak1,BB..YY................BBRR......
Jak2,YY....RR........BB....YY........
Jchain,..YY......BB..........YY....BB..
Jun,YY........RR........RR....GG....
Junb,..YYYYGG......................BB
Kdr,YY..........GG....YY........GG..
Kir3dl1/2,..YY..........YYYY......GG......
Kit,..YY......RR........RR..YY......
Kitl,GG......GG..RR................RR
Klf2,..BB....RR..............BBYY....
Klra17,..............YY..RR..RR......GG
Klrb1,..BBGGBB....................BB..
Klrb1c,..YYRR..................GG....GG
Klrk1,..BB..YY..GG............GG......
Kras,YY..........RR..BB..........YY..
Krt1,..........YY..RR..GG..........GG
Krt10,..........GG....YY......RR..GG..
Krt13,GGBB..........BB......RR........
Krt14,....GG..............GG..YYGG....
Krt15,......GGBB........RR....BB......
Krt16,..........BB..GG..........BBRR..
Krt17,....RR..........YY........YYRR..
Krt18,BB..................GG....YY..YY
Krt19,....GG..............RR......GGRR
Krt20,YY......GG..........RR......YY..
Krt23,......YY..YY..............BBGG..
Krt4,..RR............BB....YY....YY..
Krt6a,..YY..................YY..GG..YY
Krt6b,BB..GG........RR..RR............
Krt7,....RR........RR....RR......BB..
Krt8,..RR........GG............RRRR..
Krt80,....RR....BB..YY......YY........
Krt86,....GG..YY..........YY..RR......
Lag3,..RRRR............YY......RR....
Lair1,RR..BB....GG......BB............
Lamp2,......YY......YY......YY....GG..
Lamp3,............GG..BB......BB....RR
Lcn2,......GGGG..GG..........YY......
Ldb2,GG................RR......RR..GG
Ldha,....GG....YY..YY..BB............
Ldlr,YY........RR......GG..GG........
Lefty1,............BB........YY..YYYY..
Lep,....GG....BB............GGBB....
Lgals1,BB....YYRR................RR....
Lgals3,BB............GG........RR..GG..
Lgals3bp,RRYY..YY..................BB....
Lgals9,..RR..RR..YY..YY................
Lgr5,..GG..RR....GGRR................
Lif,..RRGGRR........GG..............
Lifr,GG............GG......BB......RR
Lmna,........RRGG..YY........YY......
Lpar5,......BB....GG......BB........BB
Ltb,......YY......RR........RRGG....
Ltbr,BB..........BB....GG....BB......
Ltf,RR................YYYY......RR..
Lum,..............YY....RR..BB..YY..
Ly6d,YYBB........YY..............BB..
Ly75,....BB......BB........GGBB......
Lyn,..YY......YY....RR..........GG..
Lyz3,..........BB....YY........RRYY..
Maf,......RR..GG....GG..YY..........
Maml2,............YY....BBGG........BB
Map1lc3b,..........YY......GGRRBB........
Mapk13,GG..GG..............RR....RR....
Mapk14,..........RR......GG....RR....YY
Marco,........BB............RRBB..YY..
Mb,GGYY......YY............BB......
Mcpt8,..YY....RR....BB....BB..........
Mecom,GG......BB............GG......GG
Meg3,......YY......GG....GG......YY..
Mertk,......GG..................RRGGGG
Met,..RR..............RR........GGRR
Mfap5,........RR..RR....YY......YY....
Mgp,......BB....BB....GG........GG..
Mif,..GG..........BBBB....BB........
Mki67,....GGYY......RRYY..............
Mlh1,..BBRR........RR........BB......
Mmp12,..................RR....GGYY..RR
Mmp14,..........GG............YYGG..GG
Mmp19,........BB..GG......YY........RR
Mmp1a,..BB......RR..YY............YY..
Mmp2,..........YYGG..BB..RR..........
Mmp7,..BB....BB....YY..RR............
Mmp9,........GG......BBBB..BB........
Mpo,..RR........RR..GGBB............
Mrc1,YY................RRRR........BB
Mrc2,..BB........BBYY........YY......
Ms4a1,........BB..........RR....BBRR..
Ms4a4b,RR..YY....RR....BB..............
Ms4a6b,........RR......GG..GG....RR....
Msh2,..........GG..BBBBGG............
Msmb,..GG....YY......RR........BB....
Msr1,GG..BB..............YY......GG..
Mst1r,........YY........RRBBYY........
Mt1,........RRBBBB..........RR......
Mt2,..GG........RR..........YY....GG
Mthfd1l,......RRYY..BB........YY........
Mtor,......BB....BB..BB......GG......
Muc1,..BB....YY............GG......YY
Mx1,....GG..........GGYY........RR..
Mxra8,BBRR....RR....................RR
Myc,BB................YYBBBB........
Myh11,......RR....GG..RR............YY
Myh6,YYGG........................YYRR
Myl12a,........RR........GG..BBBB......
Myl12b,......RRYYYY....BB..............
Myl4,........YY....BB......BB....GG..
Myl7,......YYRR..RR..............GG..
Myl9,........RR..........YYYYGG......
Mzb1,......RR..RR............GG..BB..
Mzt2,........GG....RR........YYBB....
Naca,..........YY......BB..RRBB......
Nanog,..BB..................YYGGBB....
Ncr1,......YY............BBYY..BB....
Ndrg1,YY..............RR........BBRR..
Neat1,......RRRR............BB..GG....
Negative01,......GG..BBRR....YY............
Negative02,......RRBB............GG....RR..
Negative03,BB..RR............BBYY..........
Negative04,......YY..............GG..GGYY..
Negative05,......BB......RR......BBBB......
Negative06,......YY..BB......GG....BB......
Negative07,....BB....RR..........BB......YY
Negative08,GG..........YY........BB....YY..
Negative09,....YY............RR....BBGG....
Negative10,..........BBRRYY........BB......
Nell2,RR......BB....RR........RR......
Nfkb1,....GG..RR........GG......GG....
Nfkbia,......YY....YY........GG......GG
Ngfr,......GG..BB....BB..GG..........
Nkg7,RR........GG........RRGG........
Nlrc4,........YY..RR..........GG....BB
Nlrc5,..GG..............GG......GG..RR
Nlrp1a,RR......YY..RRYY................
Nlrp2,..YYGG............YYYY..........
Nlrp3,............RR..........RRBBRR..
Nod2,....YY......RR..YY....RR........
Nosip,..............BB..YY....GGGG....
Notch1,......RR............RRBB....BB..
Notch2,................YY..GGBBRR......
Notch3,BB..........RR....BB..........GG
Nppc,..................BB..GG....GGGG
Npr1,............GG............BBBBBB
Npr2,GG....................GGGGRR....
Npr3,....RRRRGG........RR............
Nr1h2,YY....BBYY..........BB..........
Nr1h3,....BB......YYRR..............BB
Nr3c1,BB....YY..RR..........YY........
Nrg1,................GGYYBB..GG......
Nrxn1,GG........BB........GG..GG......
Nrxn3,......GG............YYRR....YY..
Nt5c3,........BB....RRBB..BB..........
Ntrk2,......GG....YY............YYRR..
Nusap1,....BB....GG....BB....YY........
Oas1a/g,..GG......YYBB....BB............
Oas2,..GG......BB........GG....YY....
Oas3,RR..GGRR....................GG..
Oasl1,GGGG..........RR..........RR....
Olfm4,....BB..YY......BB......GG......
Olr1,RRRR....YY........GG............
Osm,..........GGGG......GGYY........
Osmr,BB........RR............YY..YY..
P2rx5,..BB..............RRYYRR........
Parp1,......YY....BB....BB..BB........
Pcna,..BBBBRR..............BB........
Pdcd1,GG....RR........GGBB............
Pdcd1lg2,..........BB....RR....GG..YY....
Pdgfa,BBGG................GGRR........
Pdgfb,......RR............GGYY......RR
Pdgfc,..YY..RRYY................YY....
Pdgfd,..GG..........RR..GG........GG..
Pdgfra,BB..BB..........YY............BB
Pdgfrb,......GG......BB........BBYY....
Pds5a,BB........BB......BB........RR..
Pecam1,BB......BBYY......YY............
Pf4,..RR..........YY..GG..........YY
Pfn1,..YY........YYYY..BB............
Pgf,......RR....YYGG......RR........
Pgr,..RRYY....RR..........RR........
Phlda2,........BB..RR....BB..RR........
Pigr,..RR..............YY..BBGG......
Plac8,GG..........BB......RR..RR......
Plac9,..GG................YY......BBBB
Plekhg2,........BBBBGG..RR..............
Pnoc,....GGGG............GG......RR..
Pou5f1,....YY........RR..YY......BB....
